parameters_m,tokens_b,task,task_label,n,base_acc,hq_acc,gap_acc_pp,base_acc_norm,hq_acc_norm,gap_acc_norm_pp
56,19.923,piqa,PIQA,1838,0.6240478781284005,0.6256800870511425,0.16322089227420733,0.6229597388465724,0.6289445048966268,0.598476605005438
56,19.923,sciq,SciQ,1000,0.749,0.77,2.100000000000002,0.669,0.694,2.499999999999991
56,19.923,siqa,SIQA,1954,0.3546571136131013,0.372057318321392,1.7400204708290679,0.4094165813715456,0.41453428863868985,0.5117707267144278
56,19.923,winogrande,WinoGrande,1267,0.5090765588003157,0.5114443567482242,0.23677979479085343,0.5074980268350434,0.4996053670086819,-0.7892659826361503
56,19.999,arc_challenge,ARC-C,1172,0.200512,0.226962,2.645,0.244027,0.257679,1.3651999999999997
56,19.999,arc_easy,ARC-E,2376,0.5185185185185185,0.5332491582491582,1.4730639730639705,0.4524410774410774,0.48063973063973064,2.8198653198653223
56,19.999,csqa,CSQA,1221,0.26535626535626533,0.26945126945126946,0.4095004095004129,0.2915642915642916,0.30057330057330056,0.9009009009008973
56,19.999,hellaswag,HellaSwag,10042,0.28689504082852024,0.2861979685321649,-0.069707229635535,0.30651264688309104,0.3152758414658435,0.8763194582752432
56,19.999,mmlu,MMLU,14042,0.22952570858852014,0.2321606608745193,0.2634952285999165,0.22952570858852014,0.2321606608745193,0.2634952285999165
56,19.999,openbookqa,OpenBookQA,500,0.158,0.174,1.5999999999999988,0.306,0.308,0.20000000000000018
56,19.999,piqa,PIQA,1838,0.6245919477693145,0.6294885745375408,0.4896626768226331,0.6251360174102285,0.6284004352557128,0.32644178454842576
56,19.999,sciq,SciQ,1000,0.75,0.766,1.6000000000000014,0.67,0.694,2.399999999999991
56,19.999,siqa,SIQA,1954,0.353121801432958,0.3725690890481064,1.9447287615148412,0.4094165813715456,0.41146366427840325,0.2047082906857678
